section,field,content_type,hotels_content,restaurants_content,dental_content,sports_content,description,image_description
team,member_1_certifications,text,"Google Hotel Ads Certified, Meta Blueprint Certified","Google Ads Certified, Meta Blueprint Certified, Local SEO Expert","Google Ads Certified, Healthcare Marketing Certified, HIPAA Compliance Expert","Google Ads Certified, Sports Marketing Specialist, Event Promotion Expert","Team member certifications","N/A"
testimonials,testimonial_1_quote,text,"Laurie's Google Hotel Ads strategy helped us reduce OTA commissions by 30% while increasing direct bookings by 45%. Our revenue per available room improved significantly.","Working with Inteligencia completely transformed our restaurant's digital presence. We went from empty tables to full reservations, and our online orders tripled in just 4 months.","Laurie's patient acquisition campaigns brought us 150 new patients in our first 6 months working together. The quality of patients is exceptional, and our practice has never been busier.","Since partnering with Inteligencia, our tournament participation has doubled and we've added 300 new members. Laurie understands the sports community like no other marketer we've worked with.","Client testimonial quote","N/A"
testimonials,testimonial_1_author,text,"Sarah Mitchell","Maria Rodriguez","Dr. Jennifer Chen","Mike Thompson","Testimonial author name","N/A"
testimonials,testimonial_1_position,text,"General Manager","Owner & Head Chef","Practice Owner","Facility Director","Testimonial author position","N/A"
testimonials,testimonial_1_company,text,"Oceanview Resort Miami","Bella Vista Italian Bistro","Smile Dental Group","Central Coast Sports Complex","Testimonial author company","N/A"
testimonials,testimonial_2_quote,text,"Working with Inteligencia transformed our digital presence. We went from 60% OTA bookings to 60% direct bookings in just 6 months. The ROI has been incredible.","Laurie's social media campaigns showcasing our dishes brought in so many new customers. Our Instagram following grew by 400% and foot traffic increased by 65%.","The reputation management system Laurie implemented helped us achieve a 4.9-star rating across all platforms. New patients frequently mention finding us through positive reviews.","Our facility utilization improved from 60% to 85% after implementing Laurie's membership growth strategies. The community engagement programs have been a game-changer.","Second client testimonial","N/A"
testimonials,testimonial_2_author,text,"David Chen","Antonio Ricci","Dr. Michael Foster","Lisa Park","Second testimonial author","N/A"
testimonials,testimonial_2_position,text,"Owner","Restaurant Manager","Dental Practice Owner","Operations Manager","Second testimonial position","N/A"
testimonials,testimonial_2_company,text,"Boutique Hotel Downtown","Ricci's Family Restaurant","Foster Family Dentistry","Elite Sports Center","Second testimonial company","N/A"
testimonials,testimonial_3_quote,text,"The email marketing campaigns Laurie created for our hotel generated over $200K in additional revenue this year alone. The guest retention improvements have been remarkable.","Our delivery orders increased by 80% after Laurie optimized our presence on all the major platforms. The commission savings alone paid for the marketing investment.","Laurie's HIPAA-compliant campaigns brought quality patients who value our comprehensive care. Our practice revenue increased by $500K in the first year.","The tournament promotion strategies Laurie developed helped us host our largest event ever with 500+ participants. The community response was overwhelming.","Third client testimonial","N/A"
testimonials,testimonial_3_author,text,"Rachel Green","Sofia Martinez","Dr. Amanda Williams","James Rodriguez","Third testimonial author","N/A"
testimonials,testimonial_3_position,text,"Marketing Director","Co-Owner","Practice Manager","Event Coordinator","Third testimonial position","N/A"
testimonials,testimonial_3_company,text,"Downtown Suites Hotel","Martinez Brothers Cantina","Williams Dental Associates","Coastal Recreation Complex","Third testimonial company","N/A"
pricing,starter_title,text,"Starter Package","Essential Package","Practice Starter","Facility Basics","First pricing tier name","N/A"
pricing,starter_price,text,"$1,500/month","$1,500/month","$1,500/month","$1,500/month","First tier monthly price","N/A"
pricing,starter_description,text,"Perfect for boutique hotels (1-50 rooms) looking to reduce OTA dependency","Ideal for single-location restaurants wanting to increase local visibility","Great for solo practitioners or small practices (1-2 dentists)","Perfect for single-court facilities or small recreational centers","First tier description","N/A"
pricing,starter_feature_1,text,"Google Hotel Ads setup","Google My Business optimization","Patient acquisition campaigns","Basic digital marketing setup","First feature of starter package","N/A"
pricing,starter_feature_2,text,"Basic website optimization","Social media setup","Review management","Membership growth campaigns","Second feature of starter package","N/A"
pricing,starter_feature_3,text,"Monthly performance reports","Local SEO optimization","Basic compliance setup","Event promotion support","Third feature of starter package","N/A"
pricing,growth_title,text,"Growth Package","Professional Package","Practice Growth","Elite Facility","Second pricing tier name","N/A"
pricing,growth_price,text,"$3,000/month","$3,000/month","$3,000/month","$3,000/month","Second tier monthly price","N/A"
pricing,growth_description,text,"Designed for mid-size hotels (50-200 rooms) with multiple revenue streams","Perfect for restaurant groups or high-volume establishments","Ideal for multi-dentist practices or specialty dental services","Great for multi-court facilities with tournaments and events","Second tier description","N/A"
pricing,growth_feature_1,text,"Full advertising suite","Multi-platform campaigns","Advanced patient acquisition","Comprehensive marketing strategy","First feature of growth package","N/A"
pricing,growth_feature_2,text,"Email marketing automation","Delivery platform optimization","Reputation management suite","Tournament promotion system","Second feature of growth package","N/A"
pricing,growth_feature_3,text,"Revenue optimization","Staff training support","Practice growth consulting","Advanced analytics dashboard","Third feature of growth package","N/A"
pricing,growth_feature_4,text,"Dedicated account manager","Menu and pricing strategy","Technology integration","Community building programs","Fourth feature of growth package","N/A"
pricing,pro_title,text,"Pro+ Package","Enterprise Package","Practice Pro+","Championship Package","Third pricing tier name","N/A"
pricing,pro_price,text,"$5,500/month","$5,500/month","$5,500/month","$5,500/month","Third tier monthly price","N/A"
pricing,pro_description,text,"Built for large hotels (200+ rooms) or resort properties","Designed for restaurant chains or flagship locations","Perfect for large practices or dental organizations","Ideal for major recreational complexes or sports facilities","Third tier description","N/A"
pricing,pro_feature_1,text,"Enterprise advertising strategy","Multi-location management","Advanced practice management","Full facility optimization","First feature of pro package","N/A"
pricing,pro_feature_2,text,"Advanced automation suite","Corporate account management","Continuing education support","Professional tournament hosting","Second feature of pro package","N/A"
pricing,pro_feature_3,text,"Custom integrations","Franchise support systems","Strategic growth planning","Sponsorship and partnership development","Third feature of pro package","N/A"
pricing,pro_feature_4,text,"Priority support & consulting","Advanced analytics & reporting","Executive advisory services","Custom facility development","Fourth feature of pro package","N/A"
contact,form_title,text,"Ready to Transform Your Hotel's Performance?","Let's Fill Your Restaurant Tonight","Ready to Grow Your Practice?","Ready to Build Your Sports Community?","Contact form headline","N/A"
contact,form_subtitle,text,"Get your free hotel marketing audit and discover how to reduce OTA dependency while increasing direct bookings.","Get your free restaurant marketing analysis and learn how to increase foot traffic and online orders.","Get your free practice growth analysis and discover how to attract quality patients with HIPAA-compliant marketing.","Get your free facility growth plan and learn how to maximize membership and tournament participation.","Contact form subtitle","N/A"
contact,calendly_text,text,"Schedule Your Free Hotel Marketing Consultation","Schedule Your Free Restaurant Consultation","Schedule Your Free Practice Growth Consultation","Schedule Your Free Facility Growth Consultation","Calendly booking text","N/A"
contact,phone_number,text,"(555) 123-4567","(555) 123-4567","(555) 123-4567","(555) 123-4567","Contact phone number","N/A"
contact,email,text,"hotels@inteligencia.com","restaurants@inteligencia.com","dental@inteligencia.com","sports@inteligencia.com","Industry-specific contact email","N/A"
contact,office_address,text,"123 Business Ave, Suite 100, Miami, FL 33101","123 Business Ave, Suite 100, Miami, FL 33101","123 Business Ave, Suite 100, Miami, FL 33101","123 Business Ave, Suite 100, Miami, FL 33101","Office address","N/A"
